id;strada;numarul;localitatea;judetul;bloc;scara;etaj;apartament;alte_detalii;asociatie_locatari
1;Avon;invoice Infrastructure Brazilian;invoice Handcrafted Tasty;back-end Bike embrace;scale;virtual;synergistic;United Credit Orchestrator;Romania;false
2;wireless Reactive bandwidth;Vision-oriented USB systemic;Cyprus Fantastic Seamless;sensor;Home Reactive Configuration;Generic;Plastic;optical;Cross-group;true
3;Ergonomic turn-key;Directives Steel;pink orange incubate;Account;deposit strategy;calculating;Zealand;Walks pixel;HDD Borders;true
4;Ukraine payment RSS;bypass empower;Tuna index;Automated Kuwait;Fresh Sausages database;hybrid;JBOD Automotive infrastructure;quantify rich uniform;mesh Incredible;true
5;redundant;Principal ubiquitous IB;next-generation;Sleek scale;Avon COM;Table mindshare;firewall;Automotive Canadian Oman;enable;false
6;Alabama;International solutions;cross-platform;dynamic 1080p;Israel Games 1080p;matrix yellow;bluetooth flexibility;Garden Georgia function;Division;true
7;PNG;Peso online;Executive Kwanza;Concrete;schemas Unbranded synthesizing;De-engineered Directives redundant;Bedfordshire PCI Jewelery;connecting array;SMS Rubber French;false
8;violet;Missouri red invoice;Rubber;firewall;Cambridgeshire Frozen SMS;Cambridgeshire;Bedfordshire;XSS;Bedfordshire Associate;false
9;port;models;payment cutting-edge applications;THX;Metal Hong;Automotive Hat revolutionary;input;discrete;users indigo;true
10;Carolina;Product Investor invoice;Table Account JSON;drive;Peso panel;virtual alarm indexing;Branding Montana secured;Summit system New;Sausages Usability;true
