id;denumire;cui;reg_comert;adresa_sediu
1;exploit Arkansas;Avon EXE;mint Tuna;Electronics visualize hard
2;deposit;Tools web;program Avon;copy Norway
3;Carolina invoice Account;Granite next-generation;web-readiness iterate Principal;complexity
4;Peso;compressing Home;well-modulated Bike Chicken;EXE
5;JBOD Applications multi-byte;bandwidth;pixel Lane synergistic;interface Group
6;blue;Grocery Avon Shoes;archive moderator;plug-and-play Licensed Integration
7;Mobility Fantastic;Soft programming generate;San Awesome generating;De-engineered parsing
8;Berkshire;asynchronous Steel Agent;Indiana Sudan Money;mesh paradigms
9;Ball Montenegro data-warehouse;Small;De-engineered;Illinois digital
10;Turnpike Granite;Centralized Human deploy;Regional;CSS
